country, type, prefix, voice price, sms price
United States of America,Fixed and Mobile,1,0.015,0.0075
Canada,Manitoba,1204,0.03,0.01
Canada,Ontario,1226,0.03,0.01
Canada,British Columbia,1236,0.18,0.01
Bahamas,Bahamas,1242,0.14,0.03
Bahamas,Mobile,1242357,0.28,0.03
Bahamas,Mobile,1242359,0.28,0.03
Bahamas,Mobile,1242375,0.28,0.03
Bahamas,Mobile,1242376,0.28,0.03
Bahamas,Mobile,1242395,0.28,0.03
Bahamas,Bahamas,124242,0.2,0.03
Bahamas,Bahamas,1242420,0.14,0.03
Bahamas,Mobile,1242421,0.17,0.03
Bahamas,Mobile,1242431,0.28,0.03
Bahamas,Mobile,1242432,0.28,0.03
Bahamas,Mobile,1242433,0.28,0.03
Bahamas,Mobile,1242434,0.28,0.03
Bahamas,Mobile,1242435,0.19,0.03
Bahamas,Mobile,1242436,0.28,0.03
Bahamas,Mobile,1242437,0.19,0.03
Bahamas,Mobile,1242438,0.19,0.03
Bahamas,Mobile,1242439,0.28,0.03
Bahamas,Bahamas,124244,0.2,0.03
Bahamas,Bahamas,1242440,0.14,0.03
Bahamas,Bahamas,1242444,0.14,0.03
Bahamas,Bahamas,124245,0.2,0.03
Bahamas,Bahamas,1242450,0.14,0.03
Bahamas,Bahamas,1242459,0.14,0.03
Bahamas,Bahamas,124246,0.2,0.03
Bahamas,Bahamas,1242460,0.14,0.03
Bahamas,Bahamas,1242461,0.14,0.03
Bahamas,Bahamas,1242469,0.14,0.03
Bahamas,Mobile,124247,0.28,0.03
Bahamas,Mobile,1242481,0.2,0.03
Bahamas,Mobile,1242524,0.28,0.03
Bahamas,Mobile,1242525,0.28,0.03
Bahamas,Mobile,1242533,0.28,0.03
Bahamas,Mobile,1242535,0.28,0.03
Bahamas,Mobile,1242544,0.28,0.03
Bahamas,Bahamas,124255,0.2,0.03
Bahamas,Bahamas,1242550,0.14,0.03
Bahamas,Bahamas,1242555,0.14,0.03
Bahamas,Mobile,1242565,0.28,0.03
Bahamas,Mobile,1242577,0.28,0.03
Bahamas,Mobile,1242636,0.28,0.03
Bahamas,Mobile,1242646,0.28,0.03
Bahamas,Mobile,1242727,0.28,0.03
Barbados,Barbados,1246,0.17,0.02
Barbados,Mobile,124623,0.4,0.02
Barbados,Mobile,124624,0.4,0.02
